Ticker,Year,NET_INCOME,SALES_REV_TURN,CF_FREE_CASH_FLOW,TOT_STK_AWARDS_GIVEN_TO_EXECS,TOT_TOP_3_HIGHEST_STK_AW_AMT,2ND_HIGHEST_STK_AWARDS_AMT,2ND_HIGHEST_ALL_OTH_COMP_AMT_AW,3RD_HIGHEST_ALL_OTH_COMP_AMT_AW,2ND_HIGHEST_TOT_COMP_AMT_AW,SUSTAINALYTICS_SOCIAL_PERCENTILE,SUSTAINALYTICS_ENVIRONMENT_PCT,GICS Sector,State,
EQIX,2017,58.9464,1062.215,-24.0556,23891395.5,19523094.5,4412748,5021198,5009823,5639230,65.71823157,78.44244083,Real Estate, California,
EQR,2017,176.1408,615.379,112.6218,12137477.5,8811443.5,1937022.5,2624107.5,2576468,3224107.5,42.53416479,49.25032538,Real Estate, Illinois,
ESS,2017,125.7256,338.5874,32.7686,4908974.5,3314900.5,906718.5,2065954.5,1962615,2495954.5,1.621788769,44.13877339,Real Estate, California,
EL,2017,301,3195.4,541.2,19928190,15358062,4102736,9562379,7739593,10712379,28.38321099,51.2407882,Consumer Staples, New York,
ES,2017,243.435,1905.7112,-85.4672,12440273.5,8890028,1440142.5,5171464.5,4283620,5750693.5,71.60252686,65.92843705,Utilities, Massachusetts,
RE,2017,168.508,1644.4062,317.109,4332148,3510516.5,607732.5,1646504,1308108,2927889,23.36360092,1.6800755,Financials, Bermuda,
EXC,2017,793.8,8279,-326,21500560,16328759.5,3310586,4853778.5,4286675.5,5710801.5,55.04860355,81.91887125,Utilities, Illinois,
EXPE,2017,91.5086,2430.5874,188.3204,1864958,1864958,124958,7243235.5,2026503,8708235.5,46.35986744,35.31797123,Consumer Discretionary, Washington,
EXPD,2017,119.987,1712.591,89.367,2231473.5,1755327,252664,3969826,3793503.5,4069826,7.552649064,60.50811273,Industrials, Washington,
ESRX,2017,1190.42,24985.58,1448,18883336,14116668,4666667,7454406.5,3744017,8155221,18.34221627,46.23383748,Health Care, Missouri,
EXR,2017,112.2876,273.205,-54.497,3896967.5,3071613,721331.5,1441820,1016158,1929320,0.76477583,1.6148026,Real Estate, Utah,
XOM,2017,4278,58635,3634.6,51068717,34838526,10068975.5,11452769.5,10920479,14080939.5,70.13761563,59.59214006,Energy, Texas,
FFIV,2017,101.838,522.6464,177.0132,28971762,19617974,4956735,5864032,5329063,6404084,18.70835429,17.19372858,Information Technology, Washington,
FB,2017,3896,9892.4,4229,74496469,56494455.5,18002013.5,18011296.5,18011282.5,19485281,81.58341564,59.06280676,Information Technology, California,
FAST,2017,138.681,1067.6894,114.101,0,0,0,681087,558047.5,1115670.5,23.10148046,67.90301393,Industrials, Minnesota,
FRT,2017,69.5902,212.2914,-101.0804,9795188.5,9395829,1239548.5,1611059.5,1224768.5,2040434.5,14.17539272,35.62267826,Real Estate, Maryland,
FDX,2017,738.25,15583.75,-315.75,3131030,1947328,591851,5702167,5097149,6800447,75.91177622,94.69114613,Industrials, Tennessee,
